lead_origin,lead_source,do_not_email,do_not_call,total_visits,total_time_on_website,page_views_per_visit,last_activity,country,specialization,occupation,course_selection_priority,search,magazine,newspaper_article,x_education_forums,newspaper,digital_advertisement,through_recommendations,receive_course_updates,tags,lead_quality,supply_chain_updates,dm_content_updates,lead_profile,city,asym_activity_index,asym_profile_index,asym_activity_score,asym_profile_score,agreed_to_pay_cheque,free_interview_guide,last_notable_activity,lead_source_was_missing,total_visits_was_missing,specialization_was_missing,occupation_was_missing,city_was_missing,heard_about_source_was_missing,asym_data_missing,conversion_probability,rank,priority_tier,true_label
API,Google,0,0,4,1088,4.0,Page Visited on Website,India,Supply Chain Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,3,3,16.0,18.0,0,0,Modified,0,0,0,0,0,0,0,0.9878612756995259,14,Hot,1
Landing Page Submission,Google,0,0,6,1353,6.0,Email Opened,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Other Leads,Mumbai,2,3,15.0,18.0,0,0,Modified,0,0,0,0,0,0,0,0.9875630779904145,15,Hot,0
Landing Page Submission,Organic Search,0,0,10,1361,2.5,SMS Sent,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Other Metro Cities,2,3,15.0,18.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.987341059971263,16,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,Email Opened,,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Other Leads,Mumbai,,,,,0,0,Email Opened,0,0,0,0,0,1,1,0.9870120433972049,17,Hot,1
Landing Page Submission,Google,0,0,8,1391,2.67,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,20.0,0,0,Email Opened,0,0,0,0,0,0,0,0.9869851078631315,18,Hot,1
API,Organic Search,0,0,19,1377,6.33,Email Opened,India,Hospitality Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Thane & Outskirts,3,2,16.0,14.0,0,0,Email Opened,0,0,0,0,0,1,0,0.9869268641953203,19,Hot,1
Landing Page Submission,Organic Search,0,0,4,1462,4.0,SMS Sent,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Other Cities of Maharashtra,3,3,16.0,17.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.9868796072739282,20,Hot,1
Landing Page Submission,Organic Search,0,0,7,1074,3.5,SMS Sent,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Not Sure,0,0,Select,Mumbai,2,3,15.0,18.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.9868697633869356,21,Hot,1
Landing Page Submission,Organic Search,0,0,5,957,5.0,SMS Sent,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Other Cities,2,2,15.0,16.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.9865665565993776,22,Hot,1
API,Google,0,0,2,1311,1.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9862582030066359,23,Hot,1
API,Google,0,0,3,717,1.5,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,15.0,18.0,0,0,Modified,0,0,0,0,0,1,0,0.9861395349719332,24,Hot,1
Landing Page Submission,Google,0,0,9,1638,9.0,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,Might be,0,0,Select,Mumbai,2,3,15.0,18.0,0,0,Modified,0,0,0,0,0,0,0,0.986108328070659,25,Hot,1
Landing Page Submission,Direct Traffic,0,0,13,1018,6.5,SMS Sent,India,Supply Chain Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Not Sure,0,0,Select,Mumbai,3,3,16.0,18.0,0,1,SMS Sent,0,0,0,0,0,0,0,0.9860812703797066,26,Hot,1
Landing Page Submission,Google,0,0,4,784,4.0,Page Visited on Website,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,High in Relevance,0,0,Select,Mumbai,2,3,15.0,18.0,0,0,Modified,0,0,0,0,0,0,0,0.9856886535685453,27,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,Email Opened,,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,High in Relevance,0,0,Potential Lead,,2,3,15.0,19.0,0,0,Modified,0,0,0,0,1,1,0,0.985646884138499,28,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,2,3,15.0,19.0,0,0,Modified,0,0,0,0,1,1,0,0.985646884138499,29,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,2,3,15.0,19.0,0,0,Modified,0,0,0,0,1,1,0,0.985572625554703,30,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9855663022088765,31,Hot,1
Landing Page Submission,Direct Traffic,0,0,3,1102,3.0,Email Opened,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Other Leads,Mumbai,2,3,15.0,18.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9855419901151152,32,Hot,1
API,Google,0,0,6,1094,2.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.985407832997587,33,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,34,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,35,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,36,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,Email Opened,,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Not doing further education,Low in Relevance,0,0,Other Leads,,,,,,0,0,Email Opened,0,0,0,0,1,1,1,0.9851928377690876,37,Hot,0
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,38,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,39,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,40,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,41,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9851928377690876,42,Hot,1
Lead Add Form,Welingak Website,0,0,13,979,3.25,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,,0,0,Select,Mumbai,2,3,15.0,17.0,0,1,Modified,0,0,0,0,0,1,0,0.9851357413056,43,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,Page Visited on Website,,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,High in Relevance,0,0,Potential Lead,,,,,,0,0,Page Visited on Website,0,0,0,0,1,1,1,0.9850942070700123,44,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9850942070700123,45,Hot,1
API,Organic Search,0,0,4,918,2.0,Page Visited on Website,India,Rural and Agribusiness,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Dual Specialization Student,,2,1,15.0,12.0,0,0,Page Visited on Website,0,0,0,0,1,1,0,0.9849070487535673,46,Hot,1
API,Google,0,0,3,887,1.0,SMS Sent,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9846778681560092,47,Hot,1
Landing Page Submission,Organic Search,0,0,5,1250,5.0,Email Opened,India,E-COMMERCE,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Other Cities,2,2,15.0,13.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9844131349296963,48,Hot,1
API,Google,0,0,4,926,4.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Mumbai,,,,,0,1,SMS Sent,0,0,0,0,0,1,1,0.9843269616739972,49,Hot,1
API,Organic Search,0,0,3,1584,1.5,Email Link Clicked,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,Might be,0,0,Potential Lead,Mumbai,,,,,0,0,Modified,0,0,0,0,0,1,1,0.984188644882123,50,Hot,1
API,Google,0,0,3,981,3.0,Email Opened,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Dual Specialization Student,Other Cities,2,2,14.0,15.0,0,0,Email Opened,0,0,0,0,0,1,0,0.9841314264721059,51,Hot,1
Landing Page Submission,Google,0,0,8,1775,2.67,Email Opened,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,Might be,0,0,Potential Lead,Thane & Outskirts,,,,,0,0,Email Opened,0,0,0,0,0,0,1,0.9840686324354989,52,Hot,1
API,Google,0,0,4,1014,2.0,Page Visited on Website,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,,,,,,0,0,Page Visited on Website,0,0,0,0,1,1,1,0.9840605393609075,53,Hot,1
Landing Page Submission,Google,0,0,5,1925,5.0,SMS Sent,India,International Business,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Thane & Outskirts,,,,,0,0,SMS Sent,0,0,0,0,0,0,1,0.9837505592482606,54,Hot,1
Landing Page Submission,Direct Traffic,0,0,4,1655,1.33,SMS Sent,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,,,,,0,1,SMS Sent,0,0,0,0,0,1,1,0.9837113089577842,55,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,,,,,0,0,SMS Sent,0,0,1,0,1,1,1,0.9837041657463033,56,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,,,,,0,0,Email Opened,0,0,1,0,1,1,1,0.9837041657463033,57,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,,0,0,Select,,,,,,0,0,Modified,0,0,1,0,1,1,1,0.9837041657463033,58,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,,,,,0,0,Email Opened,0,0,1,0,1,1,1,0.9837041657463033,59,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,,,,,0,0,SMS Sent,0,0,1,0,1,1,1,0.9837041657463033,60,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,,,,,0,0,SMS Sent,0,0,1,0,1,1,1,0.9837041657463033,61,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,,,,,0,0,SMS Sent,0,0,1,0,1,1,1,0.9837041657463033,62,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,,0,0,Select,,,,,,0,0,Modified,0,0,1,0,1,1,1,0.9837041657463033,63,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,,0,0,Select,,,,,,0,0,Modified,0,0,1,0,1,1,1,0.9837041657463033,64,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,,,,,0,0,SMS Sent,0,0,1,0,1,1,1,0.9837041657463033,65,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,,0,0,Select,,,,,,0,0,Modified,0,0,1,0,1,1,1,0.9837041657463033,66,Hot,1
Lead Add Form,Reference,1,0,0,0,0.0,SMS Sent,,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9836420487383606,67,Hot,1
Landing Page Submission,Direct Traffic,0,0,5,876,5.0,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Other Leads,Other Cities of Maharashtra,,,,,0,1,Email Opened,0,0,0,0,0,1,1,0.9835928948678961,68,Hot,1
Landing Page Submission,Google,0,0,4,874,4.0,SMS Sent,India,Rural and Agribusiness,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Thane & Outskirts,,,,,0,0,SMS Sent,0,0,0,0,0,0,1,0.9834666529984974,69,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Email Opened,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,Might be,0,0,Select,Other Cities,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,0,1,0,0.9834477375000029,70,Hot,1
Landing Page Submission,Google,0,0,5,1255,2.5,Email Received,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,2,3,14.0,18.0,0,0,Modified,0,0,0,0,0,0,0,0.98336963505823,71,Hot,1
Landing Page Submission,Organic Search,0,0,4,1189,4.0,SMS Sent,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9833189535653578,72,Hot,1
Landing Page Submission,Google,0,0,4,1146,2.0,Email Opened,United States,IT Projects Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,17.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9832220500625997,73,Hot,1
Landing Page Submission,Direct Traffic,0,0,2,1520,2.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,,,,,0,1,SMS Sent,0,0,0,0,0,1,1,0.9832193219543747,74,Hot,1
Lead Add Form,Reference,0,0,7,1052,2.33,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Select,Mumbai,2,3,15.0,19.0,0,0,Email Opened,0,0,0,0,0,0,0,0.9830347597944185,75,Hot,1
Landing Page Submission,Google,0,0,6,1040,6.0,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Other Cities,2,3,14.0,18.0,0,0,Email Opened,0,0,0,0,0,0,0,0.9828064126956272,76,Hot,1
API,Google,0,0,4,811,1.33,Email Link Clicked,United States,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,18.0,0,1,Email Link Clicked,0,0,0,0,0,1,0,0.982632654308915,77,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9825720964956592,78,Hot,1
Lead Add Form,Reference,0,0,0,0,0.0,SMS Sent,,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9825720964956592,79,Hot,1
Landing Page Submission,Google,0,0,7,1721,3.5,SMS Sent,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,2,3,14.0,18.0,0,0,SMS Sent,0,0,0,0,0,0,0,0.9822889541837921,80,Hot,1
Landing Page Submission,Organic Search,0,0,5,1063,5.0,SMS Sent,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,Might be,0,0,Potential Lead,Other Cities,,,,,0,1,Modified,0,0,0,0,0,1,1,0.9822620725502642,81,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,Olark Chat Conversation,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,,0,0,Select,,3,2,16.0,15.0,0,0,Olark Chat Conversation,0,0,1,0,1,1,0,0.9818631108106657,82,Hot,1
Landing Page Submission,Direct Traffic,0,0,5,803,2.5,SMS Sent,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Thane & Outskirts,,,,,0,1,SMS Sent,0,0,0,0,0,1,1,0.9818465703543537,83,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.9817362454839675,84,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.9817362454839675,85,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.9817362454839675,86,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.9817362454839675,87,Hot,1
Lead Add Form,Welingak Website,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,Modified,0,0,1,0,1,1,0,0.9817362454839675,88,Hot,1
Landing Page Submission,Direct Traffic,0,0,2,1496,2.0,SMS Sent,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Other Metro Cities,,,,,0,1,SMS Sent,0,0,0,0,0,1,1,0.9815694036636541,89,Hot,1
Landing Page Submission,Direct Traffic,0,0,8,1499,8.0,SMS Sent,India,Rural and Agribusiness,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Thane & Outskirts,,,,,0,0,SMS Sent,0,0,0,0,0,0,1,0.9813706321443401,90,Hot,1
API,Google,0,0,3,1438,1.5,SMS Sent,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9813566455706074,91,Hot,1
Landing Page Submission,Google,0,0,1,1716,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,15.0,20.0,0,0,Modified,0,0,0,0,0,0,0,0.9812923202229149,92,Hot,1
